date,ticker,close,volume,daily_return,return_5d_forward,return_10d_forward,drawdown_5d_forward,volume_zscore,rolling_volatility_20d,ai_trend_score,sec_ai_density,trend_bucket,volume_bucket,volatility_bucket,recent_return_bucket,sec_ai_bucket,state
2022-04-14,AAPL,165.2899932861328,75329400,-0.02998826756681583,-0.02117490557302626,-0.046221790186795286,-0.022929357130361594,-0.8261503649474532,0.017168142218838573,,,missing,low,high,low,nan,trend=missing|volume=low|volatility=high|recent_return=low|sec_ai=nan
2022-04-18,AAPL,165.07000732421875,69023900,-0.0013309091345490298,-0.013267113008026965,-0.043072637637839306,-0.04004361977987114,-1.3821614180679314,0.016558721288595965,,,missing,low,medium,medium,nan,trend=missing|volume=low|volatility=medium|recent_return=medium|sec_ai=nan
2022-04-19,AAPL,167.39999389648438,67723800,0.014115141872437453,-0.06332133351976887,-0.04731181874380963,-0.06379924172748463,-1.3527759303242002,0.016747774417933396,,,missing,low,medium,high,nan,trend=missing|volume=low|volatility=medium|recent_return=high|sec_ai=nan
2022-04-20,AAPL,167.22999572753906,67929800,-0.0010155207595194948,-0.06374447572604258,-0.007235492949778655,-0.07086043860237412,-1.2166167881797982,0.016069196383838677,,,missing,low,medium,medium,nan,trend=missing|volume=low|volatility=medium|recent_return=medium|sec_ai=nan
2022-04-21,AAPL,166.4199981689453,87227800,-0.004843614060203949,-0.01670471583874611,-0.05798578297475976,-0.06633814089413281,0.5986463063866267,0.015967277601687542,,,missing,high,medium,medium,nan,trend=missing|volume=high|volatility=medium|recent_return=medium|sec_ai=nan
2022-04-22,AAPL,161.7899932861328,84882400,-0.02782120498590701,-0.025588723415833625,-0.02787560846769932,-0.0396191895007002,0.40762710878873887,0.016018016686925332,,,missing,high,medium,low,nan,trend=missing|volume=high|volatility=medium|recent_return=low|sec_ai=nan
2022-04-25,AAPL,162.8800048828125,96046400,0.006737200333224225,-0.03020627468967174,-0.06642931606002489,-0.05900049313766709,1.3396174953096267,0.016103531388048566,,,missing,high,medium,high,nan,trend=missing|volume=high|volatility=medium|recent_return=high|sec_ai=nan
2022-04-26,AAPL,156.8000030517578,95623200,-0.03732810442527357,0.017091789691461967,-0.014604646048163472,-0.022512746878784573,1.2441056041902623,0.017650342547094234,,,missing,high,high,low,nan,trend=missing|volume=high|volatility=high|recent_return=low|sec_ai=nan
2022-04-27,AAPL,156.57000732421875,88063200,-0.001466809458308127,0.06035636779829434,-0.0643163240285618,-0.02107685314802532,0.6719031885055552,0.016713493723605297,,,missing,high,medium,medium,nan,trend=missing|volume=high|volatility=medium|recent_return=medium|sec_ai=nan
2022-04-28,AAPL,163.63999938964844,130216800,0.04515546870218534,-0.041982370708943395,-0.12881937123979337,-0.06337078437952792,3.1542938642014056,0.02031896878934972,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-04-29,AAPL,157.64999389648438,131747600,-0.036604775821961866,-0.0023469402569749054,-0.06685692162508772,-0.02778299900791248,2.621365310385424,0.021401308598229286,,,missing,high,high,low,nan,trend=missing|volume=high|volatility=high|recent_return=low|sec_ai=nan
2022-05-02,AAPL,157.9600067138672,123055300,0.0019664626031408172,-0.03735128453090575,-0.07862758229829847,-0.04095974262917734,1.8265610381181439,0.021445756062619465,,,missing,high,high,medium,nan,trend=missing|volume=high|volatility=high|recent_return=medium|sec_ai=nan
2022-05-03,AAPL,159.47999572753906,88966500,0.009622619328101267,-0.0311637907815977,-0.06420861869014183,-0.05010026616771024,0.08763355130142049,0.02068270183885494,,,missing,medium,high,high,nan,trend=missing|volume=medium|volatility=high|recent_return=high|sec_ai=nan
2022-05-04,AAPL,166.02000427246094,108256500,0.0410083315784322,-0.11757621834791676,-0.15178891880333667,-0.12173235871443466,0.960940378969791,0.022847382342151668,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-05-05,AAPL,156.77000427246094,130525300,-0.05571617733980727,-0.0906423826408187,-0.12387572647630996,-0.11462652759434688,1.7852031866174305,0.025581251116165923,,,missing,high,high,low,nan,trend=missing|volume=high|volatility=high|recent_return=low|sec_ai=nan
2022-05-06,AAPL,157.27999877929688,116124600,0.0032531383104996703,-0.06466173860553215,-0.12519075911894073,-0.1174974305122618,1.0264683216917447,0.02560138379602485,,,missing,high,high,medium,nan,trend=missing|volume=high|volatility=high|recent_return=medium|sec_ai=nan
2022-05-09,AAPL,152.05999755859375,131577900,-0.03318922470255159,-0.042877840175872484,-0.05885832626554832,-0.08720238537243452,1.5083590369485278,0.026369722462076015,,,missing,high,high,low,nan,trend=missing|volume=high|volatility=high|recent_return=low|sec_ai=nan
2022-05-10,AAPL,154.50999450683594,115366700,0.01611204121779708,-0.03410775484454964,-0.0915797967739772,-0.10167621521974146,0.7446983523594596,0.026329161356653266,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-05-11,AAPL,146.5,142689800,-0.05184127106082803,-0.03877128106335326,-0.04081908346443042,-0.05255970613134597,1.6611651555895168,0.028212613813690918,,,missing,high,high,low,nan,trend=missing|volume=high|volatility=high|recent_return=low|sec_ai=nan
2022-05-12,AAPL,142.55999755859375,182602000,-0.026894214617107504,-0.036545956399422375,0.008557808933755684,-0.041806899250461216,2.536504067514339,0.028038924895201545,,,missing,high,high,low,nan,trend=missing|volume=high|volatility=high|recent_return=low|sec_ai=nan
2022-05-13,AAPL,147.11000061035156,113990900,0.03191640803646689,-0.0647135084831959,0.01719800672150118,-0.09856569872775656,0.18619024395189845,0.02894459975300359,,,missing,high,high,high,nan,trend=missing|volume=high|volatility=high|recent_return=high|sec_ai=nan
2022-05-16,AAPL,145.5399932861328,86643800,-0.010672335787539122,-0.016696391286784462,0.022674200934378108,-0.08884150935997903,-0.8138967915905411,0.028950711296582495,,,missing,low,high,low,nan,trend=missing|volume=low|volatility=high|recent_return=low|sec_ai=nan
2022-05-17,AAPL,149.24000549316406,78336300,0.02542264929033622,-0.059501504663367566,-0.0035513184118795005,-0.11143128029149152,-1.1597753531110748,0.029467449823590616,,,missing,low,high,high,nan,trend=missing|volume=low|volatility=high|recent_return=high|sec_ai=nan
2022-05-18,AAPL,140.82000732421875,109742900,-0.056419176219683176,-0.00213040076803217,0.07378212504794779,-0.05830142228983681,-0.09202451052031232,0.03157156813965658,,,missing,medium,high,low,nan,trend=missing|volume=medium|volatility=high|recent_return=low|sec_ai=nan
