strategy,day,value
Buy-and-Hold,25,9106.701278686522
Buy-and-Hold,26,9230.298614501953
Buy-and-Hold,27,9335.989761352539
Buy-and-Hold,28,9451.87759399414
Buy-and-Hold,29,9528.224182128906
Buy-and-Hold,30,9524.991607666016
Buy-and-Hold,31,9534.93881225586
Buy-and-Hold,32,9558.812713623047
Buy-and-Hold,33,9551.849365234375
Buy-and-Hold,34,9590.396118164062
Buy-and-Hold,35,9588.903427124022
Buy-and-Hold,36,9422.781372070312
Buy-and-Hold,37,9346.683502197266
Buy-and-Hold,38,9459.587097167969
Buy-and-Hold,39,9364.837646484375
Buy-and-Hold,40,9312.613677978516
Buy-and-Hold,41,9307.888793945312
Buy-and-Hold,42,9297.692489624022
Buy-and-Hold,43,9390.701293945312
Buy-and-Hold,44,9102.473831176758
Buy-and-Hold,45,8937.346267700195
Buy-and-Hold,46,8841.353988647461
Buy-and-Hold,47,8841.353988647461
Buy-and-Hold,48,8841.353988647461
Buy-and-Hold,49,8841.353988647461
Buy-and-Hold,50,8841.353988647461
Buy-and-Hold,51,8841.353988647461
Buy-and-Hold,52,8841.353988647461
Buy-and-Hold,53,8841.353988647461
Buy-and-Hold,54,8841.353988647461
Buy-and-Hold,55,8841.353988647461
Buy-and-Hold,56,8841.353988647461
Buy-and-Hold,57,8841.353988647461
Buy-and-Hold,58,8841.353988647461
Buy-and-Hold,59,8841.353988647461
Buy-and-Hold,60,8841.353988647461
Buy-and-Hold,61,8841.353988647461
Buy-and-Hold,62,8841.353988647461
Buy-and-Hold,63,8841.353988647461
Buy-and-Hold,64,8841.353988647461
Buy-and-Hold,65,8841.353988647461
Buy-and-Hold,66,8841.353988647461
Buy-and-Hold,67,8841.353988647461
Buy-and-Hold,68,8841.353988647461
Buy-and-Hold,69,8841.353988647461
Buy-and-Hold,70,8841.353988647461
Buy-and-Hold,71,8841.353988647461
Buy-and-Hold,72,8841.353988647461
Buy-and-Hold,73,8841.353988647461
Buy-and-Hold,74,8841.353988647461
Buy-and-Hold,75,8841.353988647461
Buy-and-Hold,76,8841.353988647461
